time,x,y,yaw,desired_heading,heading_error,P,I,D,PID_output,left_vel,right_vel
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288981,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289617,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288517,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289045,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00290356,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288069,0,3.85672,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288606,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289646,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288519,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028998,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028801,0,3.85672,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289131,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289093,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028898,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289016,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028906,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289223,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289816,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00287994,0,3.85672,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289593,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288597,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289221,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288709,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289147,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289091,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288912,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289157,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288972,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028905,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028955,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288469,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289587,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00291108,0,3.85675,63.8568,56.1432
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00286973,0,3.85671,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288492,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289541,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288508,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289105,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288893,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289193,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289313,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288775,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289335,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288709,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.00291042,0.0224975,3.93547,63.9355,56.0645
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0029182,-0.044875,3.81188,63.8119,56.1881
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288556,0.0225269,3.87925,63.8793,56.1207
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288947,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289172,0,3.85673,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289423,0,3.85674,63.8567,56.1433
1.74377e+09,6.9687,31.2663,178.562,-170.195,11.242,3.92421,0.00291094,0.0282034,3.95532,63.9553,56.0447
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00298756,0.0136505,4.0454,64.0454,55.9546
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301585,-0.0419007,3.98988,63.9899,56.0101
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302721,0,4.03179,64.0318,55.9682
